chinois (caractères simplifiés);chinois (caractères traditionnels);pin yin (alphabet latin);français;fichier audio;Fichier image
兔子;兔子;tùzǐ;le lapin;an-lapin-tuzi.mp3;an-lapin-tuzi.svg
狐狸;狐狸;húlí;le renard;an-renard-huli.mp3;an-renard-huli.svg
猫;貓;māo;le chat;an-chat-mao.mp3;an-chat-mao.svg
熊猫;熊貓;xióngmāo;le panda;an-panda-xiongmao.mp3;an-panda-xiongmao.svg
斑马;斑馬;bānmǎ;le zèbre;an-zebre-banma.mp3;an-zebre-banma.svg
马;馬;mǎ;le cheval;an-cheval-ma.mp3;an-cheval-ma.svg
鲸鱼;鯨魚;jīngyú;la baleine;an-baleine-jingyu.mp3;an-baleine-jingyu.svg
牛;牛;niú;la vache;an-vache-niu.mp3;an-vache-niu.svg
猪;豬;zhū;le cochon;an-cochon-chu.mp3;an-cochon-chu.svg
羊;羊;yáng;le mouton;an-mouton-yang.mp3;an-mouton-yang.svg
袋鼠;袋鼠;dàishǔ;le kangourou;an-kangourou-daishu.mp3;an-kangourou-daishu.svg
蜗牛;蝸牛;wōniú;l'escargot;an-escargot-woniu.mp3;an-escargot-woniu.svg
企鹅;企鵝;qì'é;le pingouin;an-pingouin-qie.mp3;an-pingouin-qie.svg
八爪鱼;八爪魚;bā zhuǎ yú;la pieuvre;an-pieuvre-bazhuayu.mp3;an-pieuvre-bazhuayu.svg
龟;龜;guī;la tortue;an-tortue-gui.mp3;an-tortue-gui.svg
豹子;豹子;bàozi;le léopard;an-leopard-baozi.mp3;an-leopard-baozi.svg
狮子;獅子;shīzi;le lion;an-lion-shizi.mp3;an-lion-shizi.svg
大象;大象;dà xiàng;l'éléphant;an-elephant-daxiang.mp3;an-elephant-daxiang.svg
猫头鹰;貓頭鷹;māotóuyīng;la chouette;an-chouette-maotouying.mp3;an-chouette-maotouying.svg
熊;熊;xióng;l'ours;an-ours-xiong.mp3;an-ours-xiong.svg
