chinois (caractères simplifiés);chinois (caractères traditionnels);pin yin (alphabet latin);français;fichier audio;Fichier image
彩虹色;彩虹色;cǎihóng sè;arc-en-ciel;cl-arcenciel-caihongse.mp3;cl-arcenciel-caihongse.svg
白色;白色;báisè;blanc;cl-blanc-baise.mp3;cl-blanc-baise.svg
蓝色;藍色;lán sè;bleu;cl-bleu-lanse.mp3;cl-bleu-lanse.svg
灰色;灰色;huīsè;gris;cl-gris-huise.mp3;cl-gris-huise.svg
黄色;黃色;huángsè;jaune;cl-jaune-huangse.mp3;cl-jaune-huangse.svg
棕色;棕色;zōngsè;marron;cl-marron-zongse.mp3;cl-marron-zongse.svg
黑色;黑色;hēisè;noir;cl-noir-heise.mp3;cl-noir-heise.svg
橙色;橙色;chéngsè;orange;cl-orange-chengse.mp3;cl-orange-chengse.svg
粉红色;粉紅色;fěnhóng sè;rose;cl-rose-fenhongse.mp3;cl-rose-fenhongse.svg
红色;紅色;hóngsè;rouge;cl-rouge-hongse.mp3;cl-rouge-hongse.svg
绿色;綠色;lǜsè;vert;cl-vert-lvse.mp3;cl-vert-lvse.svg
紫色;紫色;zǐsè;violet;cl-violet-zise.mp3;cl-violet-zise.svg
